iter	Passed	Remaining
0	134	134676
1	135	67537
2	135	45144
3	136	33951
4	136	27235
5	137	22763
6	137	19565
7	138	17173
8	139	15308
9	139	13804
10	139	12581
11	140	11560
12	140	10695
13	141	9954
14	141	9312
15	142	8751
16	142	8255
17	143	7814
18	143	7420
19	144	7068
20	144	6749
21	145	6459
22	145	6194
23	146	5952
24	147	5747
25	147	5540
26	148	5347
27	148	5169
28	149	5002
29	149	4847
30	150	4702
31	150	4566
32	151	4437
33	151	4317
34	152	4203
35	153	4097
36	153	3992
37	153	3896
38	154	3805
39	154	3718
40	155	3637
41	156	3560
42	156	3484
43	157	3413
44	157	3345
45	158	3279
46	158	3216
47	159	3153
48	159	3094
49	159	3038
50	160	2984
51	160	2932
52	161	2882
53	161	2835
54	162	2789
55	162	2744
56	163	2701
57	163	2660
58	164	2619
59	164	2580
60	165	2542
61	165	2505
62	166	2470
63	166	2436
64	167	2402
65	167	2370
66	167	2338
67	168	2307
68	168	2278
69	169	2249
70	169	2221
71	170	2193
72	170	2166
73	171	2140
74	171	2115
75	172	2091
76	172	2067
77	172	2044
78	173	2021
79	173	1998
80	174	1977
81	174	1955
82	175	1938
83	175	1919
84	176	1899
85	176	1880
86	177	1861
87	177	1843
88	178	1825
89	178	1807
90	179	1790
91	179	1773
92	180	1756
93	180	1740
94	181	1724
95	181	1708
96	181	1693
97	182	1678
98	182	1663
99	183	1649
100	183	1635
101	184	1621
102	184	1608
103	185	1594
104	185	1581
105	186	1569
106	186	1556
107	186	1543
108	187	1531
109	187	1519
110	188	1508
111	188	1496
112	189	1485
113	189	1475
114	190	1466
115	191	1456
116	191	1446
117	191	1434
118	192	1423
119	192	1412
120	193	1402
121	193	1392
122	194	1383
123	194	1373
124	194	1364
125	195	1355
126	195	1346
127	196	1337
128	196	1328
129	197	1319
130	197	1311
131	198	1302
132	198	1294
133	199	1286
134	199	1278
135	199	1270
136	200	1262
137	200	1254
138	201	1246
139	201	1239
140	202	1231
141	202	1224
142	203	1217
143	203	1211
144	204	1204
145	204	1196
146	205	1189
147	205	1183
148	205	1176
149	206	1169
150	206	1163
151	207	1156
152	207	1150
153	208	1143
154	208	1137
155	209	1131
156	209	1125
157	210	1119
158	210	1113
159	210	1107
160	211	1100
161	211	1095
162	212	1089
163	212	1084
164	213	1078
165	213	1073
166	214	1067
167	214	1062
168	214	1056
169	215	1051
170	215	1046
171	216	1041
172	216	1036
173	217	1031
174	217	1026
175	218	1022
176	218	1017
177	219	1011
178	219	1007
179	220	1002
180	220	997
181	220	993
182	221	987
183	221	982
184	222	978
185	222	973
186	222	969
187	223	965
188	223	960
189	224	956
190	224	952
191	225	947
192	225	943
193	226	939
194	226	935
195	227	931
